COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  PinPuw    201815094122 St0075  22       54.3
  SprPuw    201815094122 St0075  22       29.9
  Decids    201815094122 St0075  22        6.5
  ResStm    201815094122 St0075  22       38.5
  ResRot    201815094122 St0075  22       30.4
  PinPuw    201815094122 St0076  18       22.7
  SprPuw    201815094122 St0076  18        8.6
  ResRot    201815094122 St0076  18        6.1
  PinPuw    201815094122 St0077  18       22.7
  SprPuw    201815094122 St0077  18        8.6
  ResRot    201815094122 St0077  18        6.1
  PinTim    201815094122 St0077  22       53.6
  SprTim    201815094122 St0077  22       28.2
  PinPuw    201815094122 St0077  22       42.9
  SprPuw    201815094122 St0077  22       23.8
  Decids    201815094122 St0077  22       67.5
  ResStm    201815094122 St0077  22       49.5
  ResRot    201815094122 St0077  22       34.2
  PinPuw    201815094122 St0078  18       22.7
  SprPuw    201815094122 St0078  18        8.6
  ResRot    201815094122 St0078  18        6.1
  PinTim    201815094122 St0078  21       45.9
  SprTim    201815094122 St0078  21       22.0
  PinPuw    201815094122 St0078  21       40.8
  SprPuw    201815094122 St0078  21       21.9
  Decids    201815094122 St0078  21       59.2
  ResStm    201815094122 St0078  21       44.6
  ResRot    201815094122 St0078  21       30.5
  PinPuw    201815094122 St0080  22       17.8
  SprPuw    201815094122 St0080  22        9.5
  Decids    201815094122 St0080  22       58.0
  ResStm    201815094122 St0080  22       23.1
  ResRot    201815094122 St0080  22       13.7
  PinTim    201815094122 St0081  22       64.0
  SprTim    201815094122 St0081  22       32.7
  PinPuw    201815094122 St0081  22       58.0
  SprPuw    201815094122 St0081  22       32.2
  Decids    201815094122 St0081  22       64.5
  ResStm    201815094122 St0081  22       57.1
  ResRot    201815094122 St0081  22       40.4
  PinPuw    201815094122 St0082  21       16.1
  SprPuw    201815094122 St0082  21        8.0
  Decids    201815094122 St0082  21       50.9
  ResStm    201815094122 St0082  21       20.5
  ResRot    201815094122 St0082  21       12.2
  PinTim    201815094122 St0083  21       55.8
  SprTim    201815094122 St0083  21       25.5
  PinPuw    201815094122 St0083  21       55.4
  SprPuw    201815094122 St0083  21       29.6
  Decids    201815094122 St0083  21       56.6
  ResStm    201815094122 St0083  21       51.8
  ResRot    201815094122 St0083  21       36.4
  PinPuw    201815094122 St0084  20       14.4
  SprPuw    201815094122 St0084  20        6.6
  Decids    201815094122 St0084  20       43.9
  ResStm    201815094122 St0084  20       17.9
  ResRot    201815094122 St0084  20       10.6
  PinTim    201815094122 St0085  20       47.6
  PinPuw    201815094122 St0085  20       52.3
  SprPuw    201815094122 St0085  20       45.7
  Decids    201815094122 St0085  20       48.8
  ResStm    201815094122 St0085  20       46.3
  ResRot    201815094122 St0085  20       32.2
  PinPuw    201815094122 St0086  19       12.6
  SprPuw    201815094122 St0086  19        5.2
  Decids    201815094122 St0086  19       37.4
  ResStm    201815094122 St0086  19       15.5
  ResRot    201815094122 St0086  19        9.2
  PinPuw    201815094122 St0087  19       12.6
  SprPuw    201815094122 St0087  19        5.2
  Decids    201815094122 St0087  19       37.4
  ResStm    201815094122 St0087  19       15.5
  ResRot    201815094122 St0087  19        9.2
  PinTim    201815094122 St0087  22       63.3
  SprTim    201815094122 St0087  22       32.9
  PinPuw    201815094122 St0087  22       53.7
  SprPuw    201815094122 St0087  22       29.5
  Decids    201815094122 St0087  22        6.7
  ResStm    201815094122 St0087  22       38.4
  ResRot    201815094122 St0087  22       30.3
  PinPuw    201815094122 St0088  18       21.4
  SprPuw    201815094122 St0088  18        8.0
  ResRot    201815094122 St0088  18        5.8
  PinPuw    201815094122 St0089  18       21.4
  SprPuw    201815094122 St0089  18        8.0
  ResRot    201815094122 St0089  18        5.8
  PinTim    201815094122 St0089  22       54.4
  SprTim    201815094122 St0089  22       28.4
  PinPuw    201815094122 St0089  22       43.0
  SprPuw    201815094122 St0089  22       23.9
  Decids    201815094122 St0089  22       69.0
  ResStm    201815094122 St0089  22       50.3
  ResRot    201815094122 St0089  22       34.6
  PinPuw    201815094122 St0090  18       21.4
  SprPuw    201815094122 St0090  18        8.0
  ResRot    201815094122 St0090  18        5.8
  PinTim    201815094122 St0090  21       46.7
  SprTim    201815094122 St0090  21       22.2
  PinPuw    201815094122 St0090  21       41.0
  SprPuw    201815094122 St0090  21       22.0
  Decids    201815094122 St0090  21       60.7
  ResStm    201815094122 St0090  21       45.3
  ResRot    201815094122 St0090  21       30.9
  SprTim    201815094122 St0091   4       66.5
  SprPuw    201815094122 St0091   4       64.6
  Decids    201815094122 St0091   4       87.9
  ResStm    201815094122 St0091   4       51.0
  ResRot    201815094122 St0091   4       35.1
  PinPuw    201815094122 St0092  18       23.9
  SprPuw    201815094122 St0092  18       10.0
  ResRot    201815094122 St0092  18        6.5
  PinPuw    201815094122 St0093  18       23.9
  SprPuw    201815094122 St0093  18       10.0
  ResRot    201815094122 St0093  18        6.5
  PinTim    201815094122 St0093  22       59.6
  SprTim    201815094122 St0093  22       34.2
  PinPuw    201815094122 St0093  22       45.2
  SprPuw    201815094122 St0093  22       26.2
  Decids    201815094122 St0093  22       74.8
  ResStm    201815094122 St0093  22       54.0
  ResRot    201815094122 St0093  22       37.6
  PinPuw    201815094122 St0094  18       23.9
  SprPuw    201815094122 St0094  18       10.0
  ResRot    201815094122 St0094  18        6.5
  PinTim    201815094122 St0094  21       51.9
  SprTim    201815094122 St0094  21       27.6
  PinPuw    201815094122 St0094  21       43.4
  SprPuw    201815094122 St0094  21       24.4
  Decids    201815094122 St0094  21       66.5
  ResStm    201815094122 St0094  21       49.1
  ResRot    201815094122 St0094  21       33.9
  PinPuw    201815094122 St0095  18       13.1
  SprPuw    201815094122 St0095  18        5.5
  Decids    201815094122 St0095  18       35.6
  ResStm    201815094122 St0095  18       15.1
  ResRot    201815094122 St0095  18        9.1
  PinPuw    201815094122 St0096  18       13.1
  SprPuw    201815094122 St0096  18        5.5
  Decids    201815094122 St0096  18       35.6
  ResStm    201815094122 St0096  18       15.1
  ResRot    201815094122 St0096  18        9.1
  PinTim    201815094122 St0096  22       71.2
  SprTim    201815094122 St0096  22       40.0
  PinPuw    201815094122 St0096  22       57.3
  SprPuw    201815094122 St0096  22       32.4
  Decids    201815094122 St0096  22        7.4
  ResStm    201815094122 St0096  22       41.9
  ResRot    201815094122 St0096  22       33.5
  PinPuw    201815094122 St0097  18       13.1
  SprPuw    201815094122 St0097  18        5.5
  Decids    201815094122 St0097  18       35.6
  ResStm    201815094122 St0097  18       15.1
  ResRot    201815094122 St0097  18        9.1
  PinTim    201815094122 St0097  21       61.5
  SprTim    201815094122 St0097  21       32.0
  PinPuw    201815094122 St0097  21       54.1
  SprPuw    201815094122 St0097  21       29.7
  Decids    201815094122 St0097  21        6.5
  ResStm    201815094122 St0097  21       38.0
  ResRot    201815094122 St0097  21       30.0
  PinPuw    201815094122 St0098  17       22.5
  SprPuw    201815094122 St0098  17        8.4
  ResRot    201815094122 St0098  17        6.1
  PinPuw    201815094122 St0099  17       22.5
  SprPuw    201815094122 St0099  17        8.4
  ResRot    201815094122 St0099  17        6.1
  PinPuw    201815094122 St0099  22       11.4
  SprPuw    201815094122 St0099  22        6.4
  Decids    201815094122 St0099  22       67.9
  ResStm    201815094122 St0099  22       23.5
  ResRot    201815094122 St0099  22       13.3
  PinPuw    201815094122 St0100  17       22.5
  SprPuw    201815094122 St0100  17        8.4
  ResRot    201815094122 St0100  17        6.1
  PinTim    201815094122 St0100  22       60.4
  SprTim    201815094122 St0100  22       33.9
  PinPuw    201815094122 St0100  22       44.5
  SprPuw    201815094122 St0100  22       25.4
  Decids    201815094122 St0100  22       75.5
  ResStm    201815094122 St0100  22       53.9
  ResRot    201815094122 St0100  22       37.5
  PinPuw    201815094122 St0101  17       22.5
  SprPuw    201815094122 St0101  17        8.4
  ResRot    201815094122 St0101  17        6.1
  PinTim    201815094122 St0101  21       52.7
  SprTim    201815094122 St0101  21       27.4
  PinPuw    201815094122 St0101  21       42.8
  SprPuw    201815094122 St0101  21       23.7
  Decids    201815094122 St0101  21       67.1
  ResStm    201815094122 St0101  21       49.1
  ResRot    201815094122 St0101  21       33.9
  PinPuw    201815094122 St0102  17       22.5
  SprPuw    201815094122 St0102  17        8.4
  ResRot    201815094122 St0102  17        6.1
  PinTim    201815094122 St0102  20       45.1
  SprTim    201815094122 St0102  20       21.4
  PinPuw    201815094122 St0102  20       40.7
  SprPuw    201815094122 St0102  20       21.8
  Decids    201815094122 St0102  20       58.8
  ResStm    201815094122 St0102  20       44.1
  ResRot    201815094122 St0102  20       30.2
  PinPuw    201815094122 St0104  22       19.0
  SprPuw    201815094122 St0104  22       10.7
  Decids    201815094122 St0104  22       64.7
  ResStm    201815094122 St0104  22       25.3
  ResRot    201815094122 St0104  22       15.0
  PinTim    201815094122 St0105  22       71.0
  SprTim    201815094122 St0105  22       39.3
  PinPuw    201815094122 St0105  22       60.0
  SprPuw    201815094122 St0105  22       34.3
  Decids    201815094122 St0105  22       71.9
  ResStm    201815094122 St0105  22       61.6
  ResRot    201815094122 St0105  22       43.9
  PinPuw    201815094122 St0106  21       17.5
  SprPuw    201815094122 St0106  21        9.3
  Decids    201815094122 St0106  21       57.6
  ResStm    201815094122 St0106  21       22.8
  ResRot    201815094122 St0106  21       13.6
  PinTim    201815094122 St0107  21       62.9
  SprTim    201815094122 St0107  21       31.8
  PinPuw    201815094122 St0107  21       57.8
  SprPuw    201815094122 St0107  21       32.0
  Decids    201815094122 St0107  21       64.0
  ResStm    201815094122 St0107  21       56.5
  ResRot    201815094122 St0107  21       40.0
  PinPuw    201815094122 St0108  20       15.9
  SprPuw    201815094122 St0108  20        7.8
  Decids    201815094122 St0108  20       50.5
  ResStm    201815094122 St0108  20       20.3
  ResRot    201815094122 St0108  20       12.1
  PinTim    201815094122 St0109  20       54.8
  SprTim    201815094122 St0109  20       24.8
  PinPuw    201815094122 St0109  20       55.1
  SprPuw    201815094122 St0109  20       29.4
  Decids    201815094122 St0109  20       56.1
  ResStm    201815094122 St0109  20       51.3
  ResRot    201815094122 St0109  20       36.0
  PinPuw    201815094122 St0110  19       14.2
  SprPuw    201815094122 St0110  19        6.5
  Decids    201815094122 St0110  19       43.5
  ResStm    201815094122 St0110  19       17.7
  ResRot    201815094122 St0110  19       10.5
  PinPuw    201815094122 St0111  19       14.2
  SprPuw    201815094122 St0111  19        6.5
  Decids    201815094122 St0111  19       43.5
  ResStm    201815094122 St0111  19       17.7
  ResRot    201815094122 St0111  19       10.5
  PinTim    201815094122 St0111  22       69.5
  SprTim    201815094122 St0111  22       39.2
  PinPuw    201815094122 St0111  22       55.3
  SprPuw    201815094122 St0111  22       32.2
  Decids    201815094122 St0111  22        8.3
  ResStm    201815094122 St0111  22       41.1
  ResRot    201815094122 St0111  22       32.8
  PinTim    201815094122 St0112  19       46.7
  PinPuw    201815094122 St0112  19       52.1
  SprPuw    201815094122 St0112  19       44.9
  Decids    201815094122 St0112  19       48.4
  ResStm    201815094122 St0112  19       45.8
  ResRot    201815094122 St0112  19       31.8
  PinPuw    201815094122 St0113  18       12.5
  SprPuw    201815094122 St0113  18        5.2
  Decids    201815094122 St0113  18       37.1
  ResStm    201815094122 St0113  18       15.4
  ResRot    201815094122 St0113  18        9.1
  PinPuw    201815094122 St0114  18       12.5
  SprPuw    201815094122 St0114  18        5.2
  Decids    201815094122 St0114  18       37.1
  ResStm    201815094122 St0114  18       15.4
  ResRot    201815094122 St0114  18        9.1
  PinTim    201815094122 St0114  22       71.9
  SprTim    201815094122 St0114  22       39.9
  PinPuw    201815094122 St0114  22       56.6
  SprPuw    201815094122 St0114  22       32.0
  Decids    201815094122 St0114  22        7.5
  ResStm    201815094122 St0114  22       41.8
  ResRot    201815094122 St0114  22       33.5
  PinPuw    201815094122 St0115  18       12.5
  SprPuw    201815094122 St0115  18        5.2
  Decids    201815094122 St0115  18       37.1
  ResStm    201815094122 St0115  18       15.4
  ResRot    201815094122 St0115  18        9.1
  PinTim    201815094122 St0115  21       62.2
  SprTim    201815094122 St0115  21       31.9
  PinPuw    201815094122 St0115  21       53.5
  SprPuw    201815094122 St0115  21       29.3
  Decids    201815094122 St0115  21        6.6
  ResStm    201815094122 St0115  21       38.0
  ResRot    201815094122 St0115  21       30.0
  PinPuw    201815094122 St0116  17       21.2
  SprPuw    201815094122 St0116  17        7.9
  ResRot    201815094122 St0116  17        5.8
  PinPuw    201815094122 St0117  17       21.2
  SprPuw    201815094122 St0117  17        7.9
  ResRot    201815094122 St0117  17        5.8
  PinPuw    201815094122 St0117  22       11.2
  SprPuw    201815094122 St0117  22        6.3
  Decids    201815094122 St0117  22       69.2
  ResStm    201815094122 St0117  22       24.0
  ResRot    201815094122 St0117  22       13.5
  PinPuw    201815094122 St0118  17       21.2
  SprPuw    201815094122 St0118  17        7.9
  ResRot    201815094122 St0118  17        5.8
  PinTim    201815094122 St0118  22       61.2
  SprTim    201815094122 St0118  22       34.1
  PinPuw    201815094122 St0118  22       44.6
