COMPOSITE TABLE
 Factors               i      j   t PlotOutput
  Decids    201742032040 St1189  15       33.7
  ResStm    201742032040 St1189  15       65.3
  ResRot    201742032040 St1189  15       81.2
  PinPuw    201742032040 St1190  11        9.6
  SprPuw    201742032040 St1190  11       17.0
  Decids    201742032040 St1190  11      147.1
  ResStm    201742032040 St1190  11       40.7
  ResRot    201742032040 St1190  11       25.7
  PinTim    201742032040 St1190  14      127.2
  SprTim    201742032040 St1190  14      201.9
  PinPuw    201742032040 St1190  14       30.7
  SprPuw    201742032040 St1190  14      146.2
  Decids    201742032040 St1190  14       30.1
  ResStm    201742032040 St1190  14       62.0
  ResRot    201742032040 St1190  14       73.3
  PinPuw    201742032040 St1191  11        9.6
  SprPuw    201742032040 St1191  11       17.0
  Decids    201742032040 St1191  11      147.1
  ResStm    201742032040 St1191  11       40.7
  ResRot    201742032040 St1191  11       25.7
  PinTim    201742032040 St1191  14      127.2
  SprTim    201742032040 St1191  14      201.9
  PinPuw    201742032040 St1191  14       30.7
  SprPuw    201742032040 St1191  14      146.2
  Decids    201742032040 St1191  14       30.1
  ResStm    201742032040 St1191  14       62.0
  ResRot    201742032040 St1191  14       73.3
  PinPuw    201742032040 St1192  11        9.6
  SprPuw    201742032040 St1192  11       17.0
  Decids    201742032040 St1192  11      147.1
  ResStm    201742032040 St1192  11       40.7
  ResRot    201742032040 St1192  11       25.7
  PinTim    201742032040 St1192  14      127.2
  SprTim    201742032040 St1192  14      201.9
  PinPuw    201742032040 St1192  14       30.7
  SprPuw    201742032040 St1192  14      146.2
  Decids    201742032040 St1192  14       30.1
  ResStm    201742032040 St1192  14       62.0
  ResRot    201742032040 St1192  14       73.3
  PinPuw    201742032040 St1193  11        9.6
  SprPuw    201742032040 St1193  11       17.0
  Decids    201742032040 St1193  11      147.1
  ResStm    201742032040 St1193  11       40.7
  ResRot    201742032040 St1193  11       25.7
  PinTim    201742032040 St1193  14      127.2
  SprTim    201742032040 St1193  14      201.9
  PinPuw    201742032040 St1193  14       30.7
  SprPuw    201742032040 St1193  14      146.2
  Decids    201742032040 St1193  14       30.1
  ResStm    201742032040 St1193  14       62.0
  ResRot    201742032040 St1193  14       73.3
  PinTim    201742032040 St1194  11       82.8
  SprTim    201742032040 St1194  11       91.6
  PinPuw    201742032040 St1194  11       32.2
  SprPuw    201742032040 St1194  11      112.5
  Decids    201742032040 St1194  11      163.5
  ResStm    201742032040 St1194  11       86.0
  ResRot    201742032040 St1194  11       68.9
  PinTim    201742032040 St1195  11       82.8
  SprTim    201742032040 St1195  11       91.6
  PinPuw    201742032040 St1195  11       32.2
  SprPuw    201742032040 St1195  11      112.5
  Decids    201742032040 St1195  11      163.5
  ResStm    201742032040 St1195  11       86.0
  ResRot    201742032040 St1195  11       68.9
  PinTim    201742032040 St1196  11       82.8
  SprTim    201742032040 St1196  11       91.6
  PinPuw    201742032040 St1196  11       32.2
  SprPuw    201742032040 St1196  11      112.5
  Decids    201742032040 St1196  11      163.5
  ResStm    201742032040 St1196  11       86.0
  ResRot    201742032040 St1196  11       68.9
  PinTim    201742032040 St1197  11       82.8
  SprTim    201742032040 St1197  11       91.6
  PinPuw    201742032040 St1197  11       32.2
  SprPuw    201742032040 St1197  11      112.5
  Decids    201742032040 St1197  11      163.5
  ResStm    201742032040 St1197  11       86.0
  ResRot    201742032040 St1197  11       68.9
  PinTim    201742032040 St1198  11       82.8
  SprTim    201742032040 St1198  11       91.6
  PinPuw    201742032040 St1198  11       32.2
  SprPuw    201742032040 St1198  11      112.5
  Decids    201742032040 St1198  11      163.5
  ResStm    201742032040 St1198  11       86.0
  ResRot    201742032040 St1198  11       68.9
  PinTim    201742032040 St1199  11       82.8
  SprTim    201742032040 St1199  11       91.6
  PinPuw    201742032040 St1199  11       32.2
  SprPuw    201742032040 St1199  11      112.5
  Decids    201742032040 St1199  11      163.5
  ResStm    201742032040 St1199  11       86.0
  ResRot    201742032040 St1199  11       68.9
  PinTim    201742032040 St1200  11       82.8
  SprTim    201742032040 St1200  11       91.6
  PinPuw    201742032040 St1200  11       32.2
  SprPuw    201742032040 St1200  11      112.5
  Decids    201742032040 St1200  11      163.5
  ResStm    201742032040 St1200  11       86.0
  ResRot    201742032040 St1200  11       68.9
  PinTim    201742032040 St1201  11       82.8
  SprTim    201742032040 St1201  11       91.6
  PinPuw    201742032040 St1201  11       32.2
  SprPuw    201742032040 St1201  11      112.5
  Decids    201742032040 St1201  11      163.5
  ResStm    201742032040 St1201  11       86.0
  ResRot    201742032040 St1201  11       68.9
  PinTim    201742032040 St1202  11       82.8
  SprTim    201742032040 St1202  11       91.6
  PinPuw    201742032040 St1202  11       32.2
  SprPuw    201742032040 St1202  11      112.5
  Decids    201742032040 St1202  11      163.5
  ResStm    201742032040 St1202  11       86.0
  ResRot    201742032040 St1202  11       68.9
  PinTim    201742032040 St1203  11       82.8
  SprTim    201742032040 St1203  11       91.6
  PinPuw    201742032040 St1203  11       32.2
  SprPuw    201742032040 St1203  11      112.5
  Decids    201742032040 St1203  11      163.5
  ResStm    201742032040 St1203  11       86.0
  ResRot    201742032040 St1203  11       68.9
  PinTim    201742032040 St1204  11       82.8
  SprTim    201742032040 St1204  11       91.6
  PinPuw    201742032040 St1204  11       32.2
  SprPuw    201742032040 St1204  11      112.5
  Decids    201742032040 St1204  11      163.5
  ResStm    201742032040 St1204  11       86.0
  ResRot    201742032040 St1204  11       68.9
  PinTim    201742032040 St1205  11       82.8
  SprTim    201742032040 St1205  11       91.6
  PinPuw    201742032040 St1205  11       32.2
  SprPuw    201742032040 St1205  11      112.5
  Decids    201742032040 St1205  11      163.5
  ResStm    201742032040 St1205  11       86.0
  ResRot    201742032040 St1205  11       68.9
  PinTim    201742032040 St1206  11       82.8
  SprTim    201742032040 St1206  11       91.6
  PinPuw    201742032040 St1206  11       32.2
  SprPuw    201742032040 St1206  11      112.5
  Decids    201742032040 St1206  11      163.5
  ResStm    201742032040 St1206  11       86.0
  ResRot    201742032040 St1206  11       68.9
  PinTim    201742032040 St1207  11       82.8
  SprTim    201742032040 St1207  11       91.6
  PinPuw    201742032040 St1207  11       32.2
  SprPuw    201742032040 St1207  11      112.5
  Decids    201742032040 St1207  11      163.5
  ResStm    201742032040 St1207  11       86.0
  ResRot    201742032040 St1207  11       68.9
  PinTim    201742032040 St1208  11       82.8
  SprTim    201742032040 St1208  11       91.6
  PinPuw    201742032040 St1208  11       32.2
  SprPuw    201742032040 St1208  11      112.5
  Decids    201742032040 St1208  11      163.5
  ResStm    201742032040 St1208  11       86.0
  ResRot    201742032040 St1208  11       68.9
  PinTim    201742032040 St1209  11       82.8
  SprTim    201742032040 St1209  11       91.6
  PinPuw    201742032040 St1209  11       32.2
  SprPuw    201742032040 St1209  11      112.5
  Decids    201742032040 St1209  11      163.5
  ResStm    201742032040 St1209  11       86.0
  ResRot    201742032040 St1209  11       68.9
  PinTim    201742032040 St1210  11       82.8
  SprTim    201742032040 St1210  11       91.6
  PinPuw    201742032040 St1210  11       32.2
  SprPuw    201742032040 St1210  11      112.5
  Decids    201742032040 St1210  11      163.5
  ResStm    201742032040 St1210  11       86.0
  ResRot    201742032040 St1210  11       68.9
  PinTim    201742032040 St1211  11       82.8
  SprTim    201742032040 St1211  11       91.6
  PinPuw    201742032040 St1211  11       32.2
  SprPuw    201742032040 St1211  11      112.5
  Decids    201742032040 St1211  11      163.5
  ResStm    201742032040 St1211  11       86.0
  ResRot    201742032040 St1211  11       68.9
  PinPuw    201742032040 St1212  10        8.4
  SprPuw    201742032040 St1212  10       13.5
  Decids    201742032040 St1212  10      119.8
  ResStm    201742032040 St1212  10       33.2
  ResRot    201742032040 St1212  10       20.4
  PinPuw    201742032040 St1213  10        8.4
  SprPuw    201742032040 St1213  10       13.5
  Decids    201742032040 St1213  10      119.8
  ResStm    201742032040 St1213  10       33.2
  ResRot    201742032040 St1213  10       20.4
  PinTim    201742032040 St1213  22      194.8
  SprTim    201742032040 St1213  22      421.5
  PinPuw    201742032040 St1213  22       10.7
  SprPuw    201742032040 St1213  22      148.0
  Decids    201742032040 St1213  22       50.3
  ResStm    201742032040 St1213  22       76.3
  ResRot    201742032040 St1213  22      107.3
  PinPuw    201742032040 St1214  10        8.4
  SprPuw    201742032040 St1214  10       13.5
  Decids    201742032040 St1214  10      119.8
  ResStm    201742032040 St1214  10       33.2
  ResRot    201742032040 St1214  10       20.4
  PinTim    201742032040 St1214  21      190.6
  SprTim    201742032040 St1214  21      401.4
  PinPuw    201742032040 St1214  21       13.7
  SprPuw    201742032040 St1214  21      152.8
  Decids    201742032040 St1214  21       48.9
  ResStm    201742032040 St1214  21       75.2
  ResRot    201742032040 St1214  21      105.8
  PinPuw    201742032040 St1215  10        8.4
  SprPuw    201742032040 St1215  10       13.5
  Decids    201742032040 St1215  10      119.8
  ResStm    201742032040 St1215  10       33.2
  ResRot    201742032040 St1215  10       20.4
  PinTim    201742032040 St1215  20      185.6
  SprTim    201742032040 St1215  20      379.5
  PinPuw    201742032040 St1215  20       16.7
  SprPuw    201742032040 St1215  20      156.9
  Decids    201742032040 St1215  20       47.3
  ResStm    201742032040 St1215  20       74.1
  ResRot    201742032040 St1215  20      103.9
  PinPuw    201742032040 St1216  10        8.4
  SprPuw    201742032040 St1216  10       13.5
  Decids    201742032040 St1216  10      119.8
  ResStm    201742032040 St1216  10       33.2
  ResRot    201742032040 St1216  10       20.4
  PinTim    201742032040 St1216  19      179.8
  SprTim    201742032040 St1216  19      355.7
  PinPuw    201742032040 St1216  19       19.6
  SprPuw    201742032040 St1216  19      160.0
  Decids    201742032040 St1216  19       45.4
  ResStm    201742032040 St1216  19       73.0
  ResRot    201742032040 St1216  19      101.4
  PinPuw    201742032040 St1217  10        8.4
  SprPuw    201742032040 St1217  10       13.5
  Decids    201742032040 St1217  10      119.8
  ResStm    201742032040 St1217  10       33.2
  ResRot    201742032040 St1217  10       20.4
  PinTim    201742032040 St1217  18      172.9
  SprTim    201742032040 St1217  18      329.8
  PinPuw    201742032040 St1217  18       22.5
  SprPuw    201742032040 St1217  18      161.8
  Decids    201742032040 St1217  18       43.2
  ResStm    201742032040 St1217  18       71.8
  ResRot    201742032040 St1217  18       98.1
  PinPuw    201742032040 St1218  10        8.4
  SprPuw    201742032040 St1218  10       13.5
  Decids    201742032040 St1218  10      119.8
  ResStm    201742032040 St1218  10       33.2
  ResRot    201742032040 St1218  10       20.4
  PinTim    201742032040 St1218  17      164.8
  SprTim    201742032040 St1218  17      301.8
  PinPuw    201742032040 St1218  17       25.2
  SprPuw    201742032040 St1218  17      162.0
  Decids    201742032040 St1218  17       40.8
  ResStm    201742032040 St1218  17       70.4
  ResRot    201742032040 St1218  17       94.1
  PinPuw    201742032040 St1219  10        8.4
  SprPuw    201742032040 St1219  10       13.5
  Decids    201742032040 St1219  10      119.8
  ResStm    201742032040 St1219  10       33.2
  ResRot    201742032040 St1219  10       20.4
  PinTim    201742032040 St1219  17      164.8
  SprTim    201742032040 St1219  17      301.8
  PinPuw    201742032040 St1219  17       25.2
  SprPuw    201742032040 St1219  17      162.0
  Decids    201742032040 St1219  17       40.8
  ResStm    201742032040 St1219  17       70.4
  ResRot    201742032040 St1219  17       94.1
  PinPuw    201742032040 St1220  10        8.4
  SprPuw    201742032040 St1220  10       13.5
  Decids    201742032040 St1220  10      119.8
  ResStm    201742032040 St1220  10       33.2
  ResRot    201742032040 St1220  10       20.4
  PinTim    201742032040 St1220  16      155.4
  SprTim    201742032040 St1220  16      271.5
  PinPuw    201742032040 St1220  16       27.6
  SprPuw    201742032040 St1220  16      160.3
  Decids    201742032040 St1220  16       38.0
  ResStm    201742032040 St1220  16       68.6
  ResRot    201742032040 St1220  16       89.0
  PinPuw    201742032040 St1221  10        8.4
  SprPuw    201742032040 St1221  10       13.5
  Decids    201742032040 St1221  10      119.8
  ResStm    201742032040 St1221  10       33.2
  ResRot    201742032040 St1221  10       20.4
  PinTim    201742032040 St1221  16      155.4
  SprTim    201742032040 St1221  16      271.5
  PinPuw    201742032040 St1221  16       27.6
  SprPuw    201742032040 St1221  16      160.3
  Decids    201742032040 St1221  16       38.0
  ResStm    201742032040 St1221  16       68.6
  ResRot    201742032040 St1221  16       89.0
  PinPuw    201742032040 St1222  10        8.4
  SprPuw    201742032040 St1222  10       13.5
  Decids    201742032040 St1222  10      119.8
  ResStm    201742032040 St1222  10       33.2
  ResRot    201742032040 St1222  10       20.4
  PinTim    201742032040 St1222  15       43.2
  SprTim    201742032040 St1222  15       71.7
  PinPuw    201742032040 St1222  15        8.9
  SprPuw    201742032040 St1222  15       46.9
  Decids    201742032040 St1222  15       10.5
  ResStm    201742032040 St1222  15       21.7
  ResRot    201742032040 St1222  15       27.0
  PinPuw    201742032040 St1223  10        8.4
  SprPuw    201742032040 St1223  10       13.5
  Decids    201742032040 St1223  10      119.8
  ResStm    201742032040 St1223  10       33.2
  ResRot    201742032040 St1223  10       20.4
  PinTim    201742032040 St1223  15       43.2
  SprTim    201742032040 St1223  15       71.7
  PinPuw    201742032040 St1223  15        8.9
  SprPuw    201742032040 St1223  15       46.9
  Decids    201742032040 St1223  15       10.5
  ResStm    201742032040 St1223  15       21.7
  ResRot    201742032040 St1223  15       27.0
  PinTim    201742032040 St1223  22      178.3
  SprTim    201742032040 St1223  22      410.4
  PinPuw    201742032040 St1223  22        6.4
  SprPuw    201742032040 St1223  22      127.1
  Decids    201742032040 St1223  22       44.4
  ResStm    201742032040 St1223  22       73.1
  ResRot    201742032040 St1223  22       97.5
  PinPuw    201742032040 St1224  10        8.4
  SprPuw    201742032040 St1224  10       13.5
  Decids    201742032040 St1224  10      119.8
  ResStm    201742032040 St1224  10       33.2
  ResRot    201742032040 St1224  10       20.4
  PinTim    201742032040 St1224  15       43.2
  SprTim    201742032040 St1224  15       71.7
  PinPuw    201742032040 St1224  15        8.9
  SprPuw    201742032040 St1224  15       46.9
  Decids    201742032040 St1224  15       10.5
  ResStm    201742032040 St1224  15       21.7
  ResRot    201742032040 St1224  15       27.0
  PinTim    201742032040 St1224  21      171.7
  SprTim    201742032040 St1224  21      384.3
  PinPuw    201742032040 St1224  21        9.0
  SprPuw    201742032040 St1224  21      129.9
  Decids    201742032040 St1224  21       42.6
  ResStm    201742032040 St1224  21       70.5
  ResRot    201742032040 St1224  21       94.1
  PinPuw    201742032040 St1225  10        8.4
  SprPuw    201742032040 St1225  10       13.5
  Decids    201742032040 St1225  10      119.8
  ResStm    201742032040 St1225  10       33.2
  ResRot    201742032040 St1225  10       20.4
  PinTim    201742032040 St1225  15       43.2
  SprTim    201742032040 St1225  15       71.7
  PinPuw    201742032040 St1225  15        8.9
  SprPuw    201742032040 St1225  15       46.9
  Decids    201742032040 St1225  15       10.5
  ResStm    201742032040 St1225  15       21.7
  ResRot    201742032040 St1225  15       27.0
  PinTim    201742032040 St1225  20      163.1
  SprTim    201742032040 St1225  20      355.1
  PinPuw    201742032040 St1225  20       11.6
  SprPuw    201742032040 St1225  20      131.1
  Decids    201742032040 St1225  20       40.4
  ResStm    201742032040 St1225  20       67.9
  ResRot    201742032040 St1225  20       89.7
  PinPuw    201742032040 St1226  10        8.4
  SprPuw    201742032040 St1226  10       13.5
  Decids    201742032040 St1226  10      119.8
  ResStm    201742032040 St1226  10       33.2
  ResRot    201742032040 St1226  10       20.4
  PinTim    201742032040 St1226  15       43.2
  SprTim    201742032040 St1226  15       71.7
  PinPuw    201742032040 St1226  15        8.9
  SprPuw    201742032040 St1226  15       46.9
  Decids    201742032040 St1226  15       10.5
  ResStm    201742032040 St1226  15       21.7
  ResRot    201742032040 St1226  15       27.0
  PinTim    201742032040 St1226  19      153.0
  SprTim    201742032040 St1226  19      322.8
  PinPuw    201742032040 St1226  19       14.0
  SprPuw    201742032040 St1226  19      130.5
  Decids    201742032040 St1226  19       37.9
  ResStm    201742032040 St1226  19       64.9
  ResRot    201742032040 St1226  19       84.4
  PinPuw    201742032040 St1227  10        8.4
  SprPuw    201742032040 St1227  10       13.5
  Decids    201742032040 St1227  10      119.8
  ResStm    201742032040 St1227  10       33.2
  ResRot    201742032040 St1227  10       20.4
  PinTim    201742032040 St1227  15       43.2
  SprTim    201742032040 St1227  15       71.7
  PinPuw    201742032040 St1227  15        8.9
  SprPuw    201742032040 St1227  15       46.9
  Decids    201742032040 St1227  15       10.5
  ResStm    201742032040 St1227  15       21.7
  ResRot    201742032040 St1227  15       27.0
  PinTim    201742032040 St1227  18      141.7
  SprTim    201742032040 St1227  18      287.9
  PinPuw    201742032040 St1227  18       16.2
  SprPuw    201742032040 St1227  18      128.1
  Decids    201742032040 St1227  18       35.1
  ResStm    201742032040 St1227  18       61.7
  ResRot    201742032040 St1227  18       78.4
  PinPuw    201742032040 St1228  10        8.4
  SprPuw    201742032040 St1228  10       13.5
  Decids    201742032040 St1228  10      119.8
  ResStm    201742032040 St1228  10       33.2
  ResRot    201742032040 St1228  10       20.4
  PinTim    201742032040 St1228  15      143.9
  SprTim    201742032040 St1228  15      239.0
  PinPuw    201742032040 St1228  15       29.7
  SprPuw    201742032040 St1228  15      156.3
  Decids    201742032040 St1228  15       34.8
  ResStm    201742032040 St1228  15       66.6
  ResRot    201742032040 St1228  15       82.8
  PinPuw    201742032040 St1229  10        8.4
  SprPuw    201742032040 St1229  10       13.5
  Decids    201742032040 St1229  10      119.8
  ResStm    201742032040 St1229  10       33.2
  ResRot    201742032040 St1229  10       20.4
  PinTim    201742032040 St1229  15      143.9
  SprTim    201742032040 St1229  15      239.0
  PinPuw    201742032040 St1229  15       29.7
  SprPuw    201742032040 St1229  15      156.3
  Decids    201742032040 St1229  15       34.8
  ResStm    201742032040 St1229  15       66.6
  ResRot    201742032040 St1229  15       82.8
  PinPuw    201742032040 St1230  10        8.4
  SprPuw    201742032040 St1230  10       13.5
  Decids    201742032040 St1230  10      119.8
  ResStm    201742032040 St1230  10       33.2
  ResRot    201742032040 St1230  10       20.4
  PinTim    201742032040 St1230  15      143.9
  SprTim    201742032040 St1230  15      239.0
  PinPuw    201742032040 St1230  15       29.7
  SprPuw    201742032040 St1230  15      156.3
  Decids    201742032040 St1230  15       34.8
  ResStm    201742032040 St1230  15       66.6
  ResRot    201742032040 St1230  15       82.8
  PinPuw    201742032040 St1231  10        8.4
  SprPuw    201742032040 St1231  10       13.5
  Decids    201742032040 St1231  10      119.8
  ResStm    201742032040 St1231  10       33.2
  ResRot    201742032040 St1231  10       20.4
  PinTim    201742032040 St1231  14       39.2
  SprTim    201742032040 St1231  14       61.4
  PinPuw    201742032040 St1231  14        9.4
  SprPuw    201742032040 St1231  14       44.8
  Decids    201742032040 St1231  14        9.4
  ResStm    201742032040 St1231  14       20.4
  ResRot    201742032040 St1231  14       24.2
  PinPuw    201742032040 St1232  10        8.4
  SprPuw    201742032040 St1232  10       13.5
  Decids    201742032040 St1232  10      119.8
  ResStm    201742032040 St1232  10       33.2
  ResRot    201742032040 St1232  10       20.4
  PinTim    201742032040 St1232  14       39.2
  SprTim    201742032040 St1232  14       61.4
  PinPuw    201742032040 St1232  14        9.4
  SprPuw    201742032040 St1232  14       44.8
  Decids    201742032040 St1232  14        9.4
  ResStm    201742032040 St1232  14       20.4
  ResRot    201742032040 St1232  14       24.2
  PinTim    201742032040 St1232  22      179.4
  SprTim    201742032040 St1232  22      416.6
  PinPuw    201742032040 St1232  22        6.2
  SprPuw    201742032040 St1232  22      127.4
  Decids    201742032040 St1232  22       44.7
  ResStm    201742032040 St1232  22       73.9
  ResRot    201742032040 St1232  22       98.8
  PinPuw    201742032040 St1233  10        8.4
  SprPuw    201742032040 St1233  10       13.5
  Decids    201742032040 St1233  10      119.8
  ResStm    201742032040 St1233  10       33.2
  ResRot    201742032040 St1233  10       20.4
  PinTim    201742032040 St1233  14       39.2
  SprTim    201742032040 St1233  14       61.4
  PinPuw    201742032040 St1233  14        9.4
  SprPuw    201742032040 St1233  14       44.8
  Decids    201742032040 St1233  14        9.4
  ResStm    201742032040 St1233  14       20.4
  ResRot    201742032040 St1233  14       24.2
  PinTim    201742032040 St1233  21      173.3
  SprTim    201742032040 St1233  21      391.8
  PinPuw    201742032040 St1233  21        8.9
  SprPuw    201742032040 St1233  21      130.7
  Decids    201742032040 St1233  21       42.9
  ResStm    201742032040 St1233  21       71.6
  ResRot    201742032040 St1233  21       95.8
  PinPuw    201742032040 St1234  10        8.4
  SprPuw    201742032040 St1234  10       13.5
  Decids    201742032040 St1234  10      119.8
  ResStm    201742032040 St1234  10       33.2
  ResRot    201742032040 St1234  10       20.4
  PinTim    201742032040 St1234  14       39.2
  SprTim    201742032040 St1234  14       61.4
  PinPuw    201742032040 St1234  14        9.4
  SprPuw    201742032040 St1234  14       44.8
  Decids    201742032040 St1234  14        9.4
  ResStm    201742032040 St1234  14       20.4
  ResRot    201742032040 St1234  14       24.2
  PinTim    201742032040 St1234  20      166.0
  SprTim    201742032040 St1234  20      364.2
  PinPuw    201742032040 St1234  20       11.5
  SprPuw    201742032040 St1234  20      132.7
  Decids    201742032040 St1234  20       41.0
  ResStm    201742032040 St1234  20       69.0
  ResRot    201742032040 St1234  20       92.0
  PinPuw    201742032040 St1235  10        8.4
  SprPuw    201742032040 St1235  10       13.5
  Decids    201742032040 St1235  10      119.8
  ResStm    201742032040 St1235  10       33.2
  ResRot    201742032040 St1235  10       20.4
  PinTim    201742032040 St1235  14       39.2
  SprTim    201742032040 St1235  14       61.4
  PinPuw    201742032040 St1235  14        9.4
  SprPuw    201742032040 St1235  14       44.8
  Decids    201742032040 St1235  14        9.4
  ResStm    201742032040 St1235  14       20.4
  ResRot    201742032040 St1235  14       24.2
  PinTim    201742032040 St1235  19      156.7
  SprTim    201742032040 St1235  19      333.5
  PinPuw    201742032040 St1235  19       14.0
  SprPuw    201742032040 St1235  19      133.0
  Decids    201742032040 St1235  19       38.6
  ResStm    201742032040 St1235  19       66.4
  ResRot    201742032040 St1235  19       87.1
  PinPuw    201742032040 St1236  10        8.4
  SprPuw    201742032040 St1236  10       13.5
  Decids    201742032040 St1236  10      119.8
  ResStm    201742032040 St1236  10       33.2
  ResRot    201742032040 St1236  10       20.4
  PinTim    201742032040 St1236  14       39.2
  SprTim    201742032040 St1236  14       61.4
  PinPuw    201742032040 St1236  14        9.4
  SprPuw    201742032040 St1236  14       44.8
  Decids    201742032040 St1236  14        9.4
  ResStm    201742032040 St1236  14       20.4
  ResRot    201742032040 St1236  14       24.2
  PinTim    201742032040 St1236  18      145.8
  SprTim    201742032040 St1236  18      299.8
  PinPuw    201742032040 St1236  18       16.3
  SprPuw    201742032040 St1236  18      131.3
  Decids    201742032040 St1236  18       35.9
  ResStm    201742032040 St1236  18       63.4
  ResRot    201742032040 St1236  18       81.3
  PinPuw    201742032040 St1237  10        8.4
  SprPuw    201742032040 St1237  10       13.5
  Decids    201742032040 St1237  10      119.8
  ResStm    201742032040 St1237  10       33.2
  ResRot    201742032040 St1237  10       20.4
  PinTim    201742032040 St1237  14       39.2
  SprTim    201742032040 St1237  14       61.4
  PinPuw    201742032040 St1237  14        9.4
  SprPuw    201742032040 St1237  14       44.8
  Decids    201742032040 St1237  14        9.4
  ResStm    201742032040 St1237  14       20.4
  ResRot    201742032040 St1237  14       24.2
  PinTim    201742032040 St1237  17      133.8
  SprTim    201742032040 St1237  17      263.8
  PinPuw    201742032040 St1237  17       18.2
  SprPuw    201742032040 St1237  17      127.5
  Decids    201742032040 St1237  17       33.0
  ResStm    201742032040 St1237  17       60.2
  ResRot    201742032040 St1237  17       74.8
  PinPuw    201742032040 St1238  10        8.4
  SprPuw    201742032040 St1238  10       13.5
  Decids    201742032040 St1238  10      119.8
  ResStm    201742032040 St1238  10       33.2
  ResRot    201742032040 St1238  10       20.4
  PinTim    201742032040 St1238  14       39.2
  SprTim    201742032040 St1238  14       61.4
  PinPuw    201742032040 St1238  14        9.4
  SprPuw    201742032040 St1238  14       44.8
  Decids    201742032040 St1238  14        9.4
  ResStm    201742032040 St1238  14       20.4
  ResRot    201742032040 St1238  14       24.2
  PinTim    201742032040 St1238  17      133.8
  SprTim    201742032040 St1238  17      263.8
  PinPuw    201742032040 St1238  17       18.2
  SprPuw    201742032040 St1238  17      127.5
  Decids    201742032040 St1238  17       33.0
  ResStm    201742032040 St1238  17       60.2
  ResRot    201742032040 St1238  17       74.8
  PinPuw    201742032040 St1239  10        8.4
  SprPuw    201742032040 St1239  10       13.5
  Decids    201742032040 St1239  10      119.8
  ResStm    201742032040 St1239  10       33.2
  ResRot    201742032040 St1239  10       20.4
  PinTim    201742032040 St1239  14      130.7
  SprTim    201742032040 St1239  14      204.5
  PinPuw    201742032040 St1239  14       31.2
  SprPuw    201742032040 St1239  14      149.3
  Decids    201742032040 St1239  14       31.3
  ResStm    201742032040 St1239  14       63.6
  ResRot    201742032040 St1239  14       75.3
  PinPuw    201742032040 St1240  10        8.4
  SprPuw    201742032040 St1240  10       13.5
  Decids    201742032040 St1240  10      119.8
  ResStm    201742032040 St1240  10       33.2
  ResRot    201742032040 St1240  10       20.4
  PinTim    201742032040 St1240  14      130.7
  SprTim    201742032040 St1240  14      204.5
  PinPuw    201742032040 St1240  14       31.2
  SprPuw    201742032040 St1240  14      149.3
  Decids    201742032040 St1240  14       31.3
  ResStm    201742032040 St1240  14       63.6
  ResRot    201742032040 St1240  14       75.3
  PinPuw    201742032040 St1241  10        8.4
  SprPuw    201742032040 St1241  10       13.5
  Decids    201742032040 St1241  10      119.8
  ResStm    201742032040 St1241  10       33.2
  ResRot    201742032040 St1241  10       20.4
  PinTim    201742032040 St1241  14      130.7
  SprTim    201742032040 St1241  14      204.5
  PinPuw    201742032040 St1241  14       31.2
  SprPuw    201742032040 St1241  14      149.3
  Decids    201742032040 St1241  14       31.3
  ResStm    201742032040 St1241  14       63.6
  ResRot    201742032040 St1241  14       75.3
  PinPuw    201742032040 St1242  10        8.4
  SprPuw    201742032040 St1242  10       13.5
  Decids    201742032040 St1242  10      119.8
  ResStm    201742032040 St1242  10       33.2
  ResRot    201742032040 St1242  10       20.4
  PinTim    201742032040 St1242  14      130.7
  SprTim    201742032040 St1242  14      204.5
  PinPuw    201742032040 St1242  14       31.2
  SprPuw    201742032040 St1242  14      149.3
  Decids    201742032040 St1242  14       31.3
  ResStm    201742032040 St1242  14       63.6
  ResRot    201742032040 St1242  14       75.3
  PinPuw    201742032040 St1243  10        8.4
  SprPuw    201742032040 St1243  10       13.5
  Decids    201742032040 St1243  10      119.8
  ResStm    201742032040 St1243  10       33.2
  ResRot    201742032040 St1243  10       20.4
  PinTim    201742032040 St1243  13      115.7
  SprTim    201742032040 St1243  13      168.4
  PinPuw    201742032040 St1243  13       31.9
  SprPuw    201742032040 St1243  13      139.1
  Decids    201742032040 St1243  13       27.4
  ResStm    201742032040 St1243  13       59.8
  ResRot    201742032040 St1243  13       66.6
  PinPuw    201742032040 St1244  10        8.4
  SprPuw    201742032040 St1244  10       13.5
  Decids    201742032040 St1244  10      119.8
  ResStm    201742032040 St1244  10       33.2
  ResRot    201742032040 St1244  10       20.4
  PinTim    201742032040 St1244  13      115.7
  SprTim    201742032040 St1244  13      168.4
  PinPuw    201742032040 St1244  13       31.9
  SprPuw    201742032040 St1244  13      139.1
  Decids    201742032040 St1244  13       27.4
  ResStm    201742032040 St1244  13       59.8
  ResRot    201742032040 St1244  13       66.6
  PinPuw    201742032040 St1245  10        8.4
  SprPuw    201742032040 St1245  10       13.5
  Decids    201742032040 St1245  10      119.8
  ResStm    201742032040 St1245  10       33.2
  ResRot    201742032040 St1245  10       20.4
  PinTim    201742032040 St1245  13      115.7
  SprTim    201742032040 St1245  13      168.4
  PinPuw    201742032040 St1245  13       31.9
  SprPuw    201742032040 St1245  13      139.1
  Decids    201742032040 St1245  13       27.4
